year,month,articles,crosslists,source_url
2025,Jan,3662,686,https://arxiv.org/year/math/2025
2025,Feb,3354,715,https://arxiv.org/year/math/2025
2025,Mar,3819,744,https://arxiv.org/year/math/2025
2025,Apr,3786,710,https://arxiv.org/year/math/2025
2025,May,3671,837,https://arxiv.org/year/math/2025
2025,Jun,3623,787,https://arxiv.org/year/math/2025
2025,Jul,3948,771,https://arxiv.org/year/math/2025
2025,Aug,3522,672,https://arxiv.org/year/math/2025
2026,Jan,4040,703,https://arxiv.org/year/math/2026
2026,Feb,3823,864,https://arxiv.org/year/math/2026
2026,Mar,4773,1004,https://arxiv.org/year/math/2026
2026,Apr,4491,948,https://arxiv.org/year/math/2026
2026,May,4768,1163,https://arxiv.org/year/math/2026
2026,Jun,5333,1121,https://arxiv.org/year/math/2026
2026,Jul,5697,1075,https://arxiv.org/year/math/2026
2026,Aug,6307,1022,https://arxiv.org/year/math/2026
